㕇;la;2;lá
㕈;hou;4;hòu
㕉;ke;4;kè
㕋;jing;4;jìng
㕌;ai;4;ài
㕎;e;4;è
㕏;chu;2;chú
㕐;xie;3;xǐe
㕑;chu;2;chú
㕒;wei;2;wéi
㕕;huan;4;hùan
㕖;su;4;sù
㕗;you;4;yòu
㕙;jun;4;jùn
㕚;zhao;3;zhǎo
㕛;xu;4;xù
㕜;shi;3;shǐ
㕟;kui;4;kùi
㕡;he;2;hé
㕢;gai;4;gài
㕣;yan;3;yǎn
㕤;qiu;2;qíu
㕥;yi;3;yǐ
㕦;hua;4;hùa
㕨;fan;4;fàn
㕩;zhang;4;zhàng
㕪;dan;3;dǎn
㕫;fang;3;fǎng
㕬;song;4;sòng
㕭;ao;4;ào
㕮;fu;3;fǔ
㕯;nei;4;nèi
㕰;he;4;hè
㕱;you;2;yóu
㕲;hua;2;húa
㕴;chen;2;chén
㕵;guo;2;gúo
㕶;ng;4;ng
㕷;hua;4;hùa
㕸;li;4;lì
㕹;fa;2;fá
㕺;hao;2;háo
㕻;pou;3;pǒu
㕽;si;4;sì
㖀;le;4;lè
㖁;lin;4;lìn
㖂;yi;4;yì
㖃;hou;3;hǒu
㖅;xu;4;xù
㖆;qu;2;qú
㖇;er;2;ér
㖏;nei;4;nèi
㖐;wei;3;wěi
㖑;xie;4;xìe
㖒;ti;2;tí
㖓;hong;2;hóng
㖔;tun;3;tǔn
㖕;bo;4;bò
㖖;nie;4;nìe
㖗;yin;2;yín
㖞;wai;1;wāi
㖟;shou;4;shòu
㖠;ba;4;bà
㖡;ye;4;yè
㖢;ji;2;jí
㖣;tou;4;tòu
㖤;han;2;hán
㖥;jiong;3;jǐong
㖦;dong;3;dǒng
㖧;wen;3;wěn
㖨;lu;4;lù
㖩;sou;3;sǒu
㖪;guo;2;gúo
㖫;ling;2;líng
㖭;tian;3;tǐan
㖮;lun;2;lún
㖶;ye;4;yè
㖷;shi;2;shí
㖸;xue;2;xúe
㖹;fen;4;fèn
㖺;chun;3;chǔn
㖻;rou;2;róu
㖼;duo;3;dǔo
㖽;ze;2;zé
㖾;e;4;è
㖿;xie;2;xíe
㗁;e;4;è
㗂;sheng;3;shěng
㗃;wen;3;wěn
㗄;man;2;mán
㗅;hu;2;hú
㗆;ge;2;gé
㗇;xia;2;xía
㗈;man;4;màn
㗉;bi;4;bì
㗊;ji;2;jí
㗋;hou;2;hóu
㗌;zhi;4;zhì
㗑;bai;4;bài
㗒;ai;4;ài
㗕;gou;4;gòu
㗖;dan;4;dàn
㗗;bai;3;bǎi
㗘;bo;2;bó
㗙;na;4;nà
㗚;li;4;lì
㗛;xiao;4;xìao
㗜;xiu;4;xìu
㗢;dong;4;dòng
㗣;ti;4;tì
㗤;cu;4;cù
㗥;kuo;4;kùo
㗦;lao;2;láo
㗧;zhi;4;zhì
㗨;ai;3;ǎi
㗩;xi;1;xī
㗫;qie;4;qìe
㗰;chu;4;chù
㗱;ji;2;jí
㗲;huo;4;hùo
㗳;ta;3;tǎ
㗴;yan;2;yán
㗵;xu;4;xù
㗷;sai;3;sǎi
㗼;ye;4;yè
㗽;xiang;3;xǐang
㗿;xia;4;xìa
㘀;zuo;4;zùo
㘁;yi;4;yì
㘂;ci;2;cí
㘅;xian;2;xían
㘆;tai;2;tái
㘇;rong;2;róng
㘈;yi;1;yī
